Jasaswini Tripathy,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/jtripathyfch-kiit.jpg,https://twitter.com/jas_Tripathy,
Jashashree Ray,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2020/02/Jashashree-Ray.jpg,https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//twitter.com/JashashreeR https://www.facebook.com/jashashree.ray,
Jatin Kumar Sinha,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Jatin-Kumar-Sinha.jpg,https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//twitter.com/JatinKumarSinh1 https://www.facebook.com/jatin.sinha.5439,
Joydeb Pal,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2020/05/Joydeb-Pal-1.jpg,https://www.linkedin.com/in/joydeb-pal-49442315b/ https://twitter.com/Joydebpal91 https://www.facebook.com/joydeb.pal.338,
Kajal Parashar,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/kp.jpg,https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//twitter.com/kajalparashar2 https://www.facebook.com/kajal.parashar.315,
Kartikeswar Mahalik,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2023/12/Kartikeswar.jpg,,
Krushna Gopal Mishra,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/09/Krushna-Gopal-Mishra-1.jpg,https://www.facebook.com/krushnagopal.mishra,
Lalatendu Biswal,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Lalatendu-Biswal.jpg,,
Laxmipriya Nayak,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/laxmi.jpg,https://twitter.com/@LaxmipryaN https://www.facebook.com/profile.php?id=100003703050322,
Madhusmita Sahoo,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Madhusmita.jpg,https://twitter.com/Msahoofma https://www.facebook.com/madhusmita.sahoo.1654/,
Madhusudan Bera,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2022/06/madhusudan.jpeg,https://twitter.com/MadhusudanBer11 https://www.facebook.com/madhusudan.bera.54,
Mahendra Prasad Biswal,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2023/12/Mahendra.jpg,,
Manas Ranjan Mohapatra,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2022/05/manas.jpg,https://sites.google.com/d/0Byg2wK6dSGG9aDZJeHRKcEZ2T28/p/0Byg2wK6dSGG9Q2FkcW1OOVpZQ2M/edit?resourcekey=0-gGbVPvoocdA_4u4hma_O6w,
Manoranjan Sahoo,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Dr.-Manoranjan-Sahoo-manoranjan-sahoo.jpg,https://twitter.com/mrsahoo1977 https://www.facebook.com/msahoo.KIITuniversity,
Maya Devi,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2020/05/mayadevi.jpg,https://twitter.com/kiitmaya https://www.facebook.com/profile.php?id=100011644036229,
Mitali Madhumita Acharya,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Dr.-Mitali-Madhumita-Acharya-Mitali-Acharya.jpg,https://www.linkedin.com/in/mitali-madhumita-acharya-8483559a/ https://twitter.com/AcharyaMitali https://www.facebook.com/profile.php?id=100011728752772,
Mitali Routaray,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Mitali-Routaray.jpg,,
Mrutyunjay Das,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/mdas.jpeg,https://twitter.com/mdasfma https://www.facebook.com/mrutyunjay.das.1238,
Narmada Behera,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/narmada-behera.jpg,,
Nikita Mahapatra,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Nikita-Mahapatra.jpg,,
Pramod Kumar Das,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/pramod-Pramod-Kumar-Das.jpg,,
Prasanta Kumar Das,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2023/12/pkdas.jpg,,
